Timestamp,I will probably complete the survey,Failures are treated as learning opportunities,Responsibilities are shared,Cross-functional collaboration is encouraged and rewarded,New ideas are welcomed,Unbiased information is actively sought,Failures lead to inquiry rather than punishment or shame ,Our Source Control Management tools easily support my work,Our build and task-running tools easily support my work,Our package and artifact management tools easily support my work,Integrating my work with other components or services is simple,"I can easily make the changes I care about, without unintended side effects",Changes made by others rarely cause problems for my work,"It is easy for me to discover information about what has changed in the environments, services or components I depend on",It is easy for me to understand how to release my changes,It is easy for me to specify the details of the environment in which my service will operate,It is easy for me to create the necessary environment(s) for developing and operating my service,"I have access to the compute, storage or network resources I need for developing or operating my service ",I can easily access environments that allow me to experiment safely ,My experimental environments are easy to use,"I understand or can easily reference policies, standards, and common procedures","I usually apply policies, standards and common procedures to my work",It is easy for me to find information about how builds and operates our product and its supporting systems,"I understand the intent of policies, standards and common procedures ","In your job role, how much effort do you estimate you spend as a direct contributor (that is, not delegating or organizing the effort of others). ",How long have you been a member of this Engineering team?
2019/12/12 12:48:04 PM PST,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,80-90%,3-5 years
2019/12/12 1:01:08 PM PST,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,80-90%,1-3 years
2019/12/12 8:59:04 PM PST,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,80-90%,3-5 years
2019/12/13 4:10:35 PM PST,Strongly Disagree,Neither Agree nor Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,70-80%,3-5 years
2019/12/13 4:13:15 PM PST,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,90-100%,0-1 years
2019/12/13 4:14:24 PM PST,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,90-100%,1-3 years
2019/12/13 5:11:30 PM PST,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,90-100%,1-3 years
2019/12/13 5:16:13 PM PST,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,0-10%,7+ years
2019/12/16 9:11:23 AM PST,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,0-10%,7+ years
2019/12/17 8:45:55 AM PST,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,60-70%,0-1 years
2019/12/17 10:19:22 AM PST,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,20-30%,1-3 years
2019/12/17 10:20:43 AM PST,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,40-50%,1-3 years
2019/12/17 10:21:39 AM PST,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,70-80%,1-3 years
2019/12/17 10:23:13 AM PST,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,80-90%,1-3 years
2019/12/17 10:30:30 AM PST,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,90-100%,1-3 years
2019/12/17 10:31:53 AM PST,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,80-90%,1-3 years
2019/12/17 10:36:39 AM PST,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,10-20%,7+ years
2019/12/17 11:08:45 AM PST,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,50-60%,5-7 years
2019/12/17 11:11:58 AM PST,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,70-80%,0-1 years
2019/12/17 11:33:59 AM PST,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,30-40%,3-5 years
2019/12/17 12:22:52 PM PST,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,80-90%,1-3 years
2019/12/17 2:12:23 PM PST,Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,80-90%,5-7 years
2019/12/17 3:11:24 PM PST,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,10-20%,5-7 years
2019/12/17 8:58:09 PM PST,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,60-70%,0-1 years
