Timestamp,I will probably complete the survey,Failures are treated as learning opportunities,Responsibilities are shared,Cross-functional collaboration is encouraged and rewarded,New ideas are welcomed,Unbiased information is actively sought,Failures lead to inquiry rather than punishment or shame ,Our Source Control Management tools easily support my work,Our build and task-running tools easily support my work,Our package and artifact management tools easily support my work,Integrating my work with other components or services is simple,"I can easily make the changes I care about, without unintended side effects",Changes made by others rarely cause problems for my work,"It is easy for me to discover information about what has changed in the environments, services or components I depend on",It is easy for me to understand how to release my changes,It is easy for me to specify the details of the environment in which my service will operate,It is easy for me to create the necessary environment(s) for developing and operating my service,"I have access to the compute, storage or network resources I need for developing or operating my service ",I can easily access environments that allow me to experiment safely ,My experimental environments are easy to use,"It is easy for me to discover information about what has changed in the environments, services or components I depend on","I usually apply policies, standards and common procedures to my work",It is easy for me to find information about how  builds and operates our product and its supporting systems,"I understand the intent of policies, standards and common procedures ","In your job role, how much effort do you estimate you spend as a direct contributor (that is, not delegating or organizing the effort of others). ",How long have you been a member of this Engineering team
9/3/2020 10:27:51,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,90-100%,3-5 years
9/3/2020 10:48:49,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,70-80%,1-3 years
9/3/2020 10:54:29,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,80-90%,3-5 years
9/3/2020 11:01:44,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,70-80%,3-5 years
9/3/2020 11:31:40,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,80-90%,5-7 years
9/3/2020 11:41:01,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,80-90%,1-3 years
9/4/2020 13:18:19,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,20-30%,1-3 years
9/4/2020 16:40:58,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,80-90%,1-3 years
9/8/2020 14:15:31,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,60-70%,7+ years
9/8/2020 15:32:55,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,90-100%,0-1 years
9/8/2020 15:41:16,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Disagree,Agree,0-10%,5-7 years
9/8/2020 16:10:33,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,10-20%,1-3 years
9/8/2020 16:21:40,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,30-40%,7+ years
9/8/2020 16:22:11,Strongly Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,20-30%,5-7 years
9/8/2020 16:35:41,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,10-20%,7+ years
9/8/2020 16:36:37,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,70-80%,5-7 years
9/8/2020 17:02:30,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,80-90%,1-3 years
9/9/2020 4:41:07,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,90-100%,1-3 years
9/9/2020 10:52:04,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Agree,60-70%,3-5 years
9/9/2020 12:36:34,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,10-20%,7+ years
9/9/2020 13:00:52,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,90-100%,1-3 years
9/9/2020 14:32:33,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Disagree,70-80%,5-7 years
9/9/2020 16:11:13,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Neither Agree nor Disagree,80-90%,1-3 years
9/10/2020 9:59:39,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,70-80%,1-3 years
9/10/2020 10:32:05,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,80-90%,7+ years
9/10/2020 11:48:44,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Strongly Agree,90-100%,3-5 years
9/10/2020 13:08:02,Strongly Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,90-100%,0-1 years
9/10/2020 15:41:31,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,0-10%,7+ years
